"Решил заказать ноут в этой шараге. Уже в процессе дозвона, понял, что это действительно шарага, т.к. ожидал на телефоне 28 минут, все это время, девушка мне рассказывала, какой я в очереди и сколько мне еще нужно ждать, пока менеджер мне ответит. Подходит моя очередь и вместо манагера, я услышал короткие гудки. Все-таки созвонился с манагером и заказал ноут самовывозом после 18-00 c ТЦ «Савеловский», 2-й этаж, павильон 2С10. На следующий день пришла смс, что товар доставлен на пункт выдачи.… Круто. Приезжаю. Вижу очередь и ларек. Ларек описывать не буду, т.к. он точно такой же, как и в предыдущем отзыве, 5х5, два чела там и все в коробках. Ни проверить товар, ни подключить - возможности по-ходу нет. Стоим ждем. Выходит парень и говорит, что мол уточняйте сразу, есть ли ваш заказ или нет, а то, мол, я простоял час, а мой товар не подвезли. Тут я насторожился. Стоим дальше. Подошла моя очередь, называю свой код, чел порылся в компе, стал искать ноут, который я заказал, делая вид, что где-то должен быть. Порывшись в коробках, заявляет, что заказ не подвезли и что он ничего сделать не может, т.к. я типа тут сижу и выдаю то, что мне привезли, все вопросы в центральный офис. Ну что ж ... в центральный так в центральный. Купил ноут в другом магазе и нисколько не жалею.Ребята, вы хотя бы вывешивайте список на стекло, какие заказы не привезли, чтобы народ не закидал ваш ""ларек"" яйцами.",1,25,6
"Сделал заказ в ситилинке. Позвонили сказали, что мой товар зарезервирован и его завтра доставят. В день доставки позвонил какой-то юноша и сказал, что заказанный товар почему-то теперь не нашли на складе и, что заказ придет когда нибудь потом . Меня удивила такая ситуация, когда сначала товар есть, а потом его сразу нет. Я стал названивать по указанному на сайте телефону 780-20-02, чтобы выяснить как мне дальше быть с этим заказом. Однако дозвонится не удалось, хотя я ждал в их очереди и несколько раз дожидался момента когда был первым, но после этого мой звонок просто сбрасывали.Пока дозванивался почитал отзывы об этом магазине и понял, что такая ситуация для него типична. Плюнул и отменил заказ.",2,17,5
"Сделала заказ ноутбука в ночь с 26 на 27 декабря. 27-го целый день ждала звонка из интенет-магазина (обычно все магазины перезванивают для уточнения заказа), тишина. Решила позвонить сама, по телефону, указанному на сайте. Наконец таки мне ответили и сказали, что товар привезут завтра (28 декабря). Завтра (28 декабря) целый день прождала доставку, в итоге, около восьми (...) вечера мне позвонил курьер и сказал, что у него якобы сломалась машина и он доставит мне товар завтра (29 декабря). Сегодня (29 декабря) опять сижу, жду доставку, потому как просила привезти в первой половине дня... тишина. Около 15 часов позвонил курьер и сказал, что привезет товар, не знает когда точно, но СЕГОДНЯ. Опять сижу, жду. Около 18 опять звонок курьера... начал мямлить, что привезет около 9 вечера, я согласилась. И закончилась эта тянучка тем, что только что (полдевятого) позвонил всё тот же курьер и сказал, что сегодня он мне опять не привезет.....Я всё понимаю.... Новый Год... пробки на дорогах.... НО Я ПЛАЧУ ЗА ДОСТАВКУ.В МОСКВЕ СУЩЕСТВУЕТ ТАКОЙ ВИД ТРАНСПОРТА КАК МЕТРО.... МОЖНО ПОДНЯТЬ СВОЙ ЗАД И ПРИВЕЗТИ ТОВАР ХОТЯ БЫ НА СЛЕДУЮЩИЙ ДЕНЬ. ТЕПЕРЬ ИЗ-ЗА ТАКИХ МУДАДЯЕВ КАК ВЫ, ПРИДЕТСЯ БЕГАТЬ ПОСЛЕДНИЕ 2 ДНЯ И ИСКАТЬ ПОДАРОК. ОЧЕНЬ ЖАЛЬ ПОТОРАЧЕННОГО НА ВАС ВРЕМЯ.",2,17,6
"В целом всё неплохо. Удивляет - И ДАЖЕ ВЕСЬМА, правила торговли. При неисправности только что купленного товара его не обменивают на аналог, а заставляют сдавать в ремонт. Получается покупаешь кота в мешке и это заставляет искать альтернативу продавцу.","3,5",21,5
"В целом хорошо работают, иногда бывает привозят немного не тот товар но оччччень редко, было всего 1 раз из наверно 100. По поводу кто-то там писал удорожания позиции, извините договор вы не заключали что бы товар был продан вам именно за эту цена, а если за 3 дня рубля обвалится на 5р тогда что. Колебания валюты заложены в цену, она подымается очень редко, часто просто цена остается такой же даже если вырос доллар за 3 дня. По поводу кто то там писал заказ идет 5 дней, если заказали в субботу да еще и вечером, то заказ начинает обрабатываться в воскресенье, а если в вобранном товаре есть товар который есть только на складе (не на Амурской) то он едет 2 дня на Амурскую и день с Амурской в другие точки, умейте правильно выбирать товар если не хотите долго ждать его доставки.","4,5",8,11
"Около 10 покупок сделал в этом магазине- и только ПОЛОЖИТЕЛЬНЫЕ отзывы.Претензии у покупателей возникают видимо вследствии неосведомленности и невнимательности. Это МАГАЗИН САМОБСЛУЖИВАНИЯ. Что ВЫ ВЫБРАЛИ- ТО И ПОЛУЧИТЕ ( ТОЛЬКО САМИ ПРОВЕРЬТЕ ТО ЛИ .). Ассортимент, цены и скорость обслуживания- основные козыри магазина. Как-то делал заказ по интернету после 12 часов , а после 15 часов в этот же день (.) он уже был в точке выдачи на Рязанке. Суперскорость. А за качество товара отвечает производитель. У меня с возвратом (винчестер)никаких проблем не было. Через месяц по гарантии вернули деньги- тут же купил другой марки. ВСЕМ РЕКОМЕНДУЮ . А КОНКУРЕНТАМ НАДО У НИХ ПОУЧИТЬСЯ , А НЕ ПАСКВИЛИ ПИСАТЬ.",5,5,7
"Совершал не однократно покупки в данном магазине, последней из них был монитор Samsung P2370XL, сделав преварительный резерв по телефону и узнав о стоимость подехал непосредственно в магазин. Цена и налачие оказались октуальными, выдача купленного товара производилась в течении 5-7 минут, для сравнения в OLDI всегда приходится ждать не меньше 15. Вежливость, а самое главное итерпимость не оставляет никаких нареканий, говоря оператору много лишней информации, это я уже понял позднее, он не переходил в небрежный тон. Так что считаю качество на высоте.",5,5,8
"Менеджеры очень грубые, на вопросы не отвечают, бросают телефонные трубки, внимальность отсутсвует.",1,16,2
"Покупал там блок питания самовыозом. В отличие от Юлмарта магазин очень просторный, цены чуть ниже. Покупкой доволен, в седующий раз буду покупать в Ситилике.",5,2,7
"Так и Ситилинк. Заказывала несколько раз в течении года - никаких нареканий. Оформляли быстро, накладок с товаром не было, привозили вовремя. А тут видимо решили побастовать.Заказала компьютерную технику, оформила заказ в субботу. Мне позвонили и сообщили, что доставка будет в среду (.) то есть через 5 дней после оформления заказа. В этот же вечер ни с того, ни с сего подорожала одна из позиций в заказе, на просьбу разобраться в чем дело мне невнятно промямлили и сообщили, что разбираться будут в понедельник. Разобрались в понедельник сразу же после моего желания отказаться от подорожавшей позиции.Дождавшись среды, курьер не успел доставить мой заказ к 18:00. Ждать его никто не стал и заказ был снят.",2,24,4
"Ситилинк позиционирует себя ка дискаунтер с низкими ценами и это отчасти правда цены низкие.НО кто сталкнутся с сервисным отделом Ситилинка больше не приедут в этом магазин 100%. В договоре продаже написано что вы можите вернуть товар в течении 7 дней но на практике это не возможно даже когда товар откровенно бракованный (неработоспособный и присутствует производственный брак). При обращении в их сервис центр - там заявляют что коробка мятая, что на изделии присутствуют следы царапин и прочее, (некоторые люди говорят что царапины ставят в самом отделе). Короче с откровенным выражением глядя в глаза косят под дурачков.Далее никогда не заменят монитор, ноутбук, телевизор если имеются битые пиксели. (тот кто купил и попал знает).Заметил еще одну интересную особенность много товара в Ситилинке выпуска аж 2007, 2008 годов где он валялся можно только догадываться (в частности что покупал сам сд-ромы, оперативная память, мышки, компьютерные блоки питания).Технику не меняют и норочно затягивают со сроками ремонта а во многих случаях оказывается что потребитель сам сломал. ...Вот так то не гонялся бы ты поп за дешивизной (скупой платит дважды а то и трижды) ...","2,5",75,19
"Один из нормальных инет-магазинов в Москве. Первый раз покупал ноут когда они только открылись, и сейчас периодически если что из компов нужно берут там",5,6,8
"Покупал от компьютера до компьютерной мышки,все без проблем и заморочек.Последняя покупка компьютерная мышь,оказалась не рабочая.Все без проблем,позвонил в ситилинк,приехал обратился в службу гарантии ,товар сразу проверили и дали выбор,замена товара или возврат денег.Деньги получил в кассе магазина.На все оформление и получение денег ушло 10-15 минут.А мышку тутже купил другую в ситилинке.Единственное неудобство:покупал через интернет,забирал рядом с домом,а сдавать ездил в основной магазин.",5,5,6
"20 октября 2010 года на сайте оформила заказ WO268126, день доставки был назначен на 21 октября 2010 года с 15 до 18:00, от звонились с сайта сказали, что товар есть на складе и его действительно доставят 21 октября. Но 21 товар не доставили, я позвонила в Скайлинг в 18:30 стала с ними ругаться, мне сказали, что бы я не ругалась, что у них такая дешевая доставки и у них очень много заказов, а курьер стоит в пробке и перенесли доставку на 22 октября, но и 22 курьер не успел ….опять перенесли доставку, сегодня уже 26 октября, а от Скалинга ни ответа ни привета…До этого я то же делала покупки в этом магазине, так же доставка вместо с 15 до 18:00, была в 19:30...Не покупайте у них не чего... Ужасный магазин, хамоватые менеджеры и совершенно не ценят клиентов.","1,5",19,11
