"Отличный магазин. Закупаюсь в нем постоянно и не первый год - отличное соотношение цены, качества и отношение в клиентам. Затаривался всем, начиная от компьютерных комплектующих до крупной бытовой техники. Политика магазина уважительно относится к своим клиентам, никогда еще не возникало проблем с гарантией, даже когда магазин мог отказаться, они всегда шли навстречу. Без опаски и смело советую этот магазин друзьям и близким. Тем более если при регистрации там введете код 6122721 получите хорошую скидку на все покупки. Цены на многие товары очень даже привлекательны (конечно не на все и порой в инете встречаются более привлекательные цены) но все равно предпочтение отдаю именно этому магазину - так как не мучает вопрос, что будет после в случае наступления гарантийного случая. Очень удобны условия заказа и доставки, тем более что сейчас много магазинов и пунктов выдачи товара, но даже если и нет подходящего товара поблизости - под заказ его привезут в удобный для Вас пункт выдачи или магазин. Что хотелось бы пожелать, так это доработать новый сайт, сыроват еще (особенно в пункте доставки, указывая улицу который система не знает, доставку осуществить не представляется возможным), включить опцию отображения товара которого нет в наличии и заказывать этот товар с получением соответствующего уведомления на почту или мобильный. В остальном Спасибо администрации и сотрудникам магазина за их труды .... Всегда в удовольствие закупаться у Вас ...",5,7,17
"Покупал в магазине детали для ПК в течении года,и когда произошла техническая неисправность обратился в гарантийный отдел, Очень вежливый и внимательный специалист Антон оказал всю посильную помощь. Антон опытный мастер и прекрасный человек. СПАСИБО.",5,12,23
"Крайне не доволен магазином. Заказал интересующий мне товар (товар был в наличии), на следующий день жду доставки до места выдачи товара. Товар не приходит, связываюсь с оператором, который говорит: товар не загрузили в автомобиль и будет на следующий день в обед. Наступает следующий день, статус товара по прежнему: в пути. Связываюсь с горячей линией, девушка со словами: сейчас позвоню в магазин, включает музыку ожидания - пустой звонок продолжается 7 минут, ждать надоело. Еду в центральный магазин, выяснить причину сложившийся ситуации. При общении со старшим менеджером, который с юмором обзванивает персонал и спрашивает, где товар, складывается впечатление, что такая фурма в данном магазине не в первый раз. В итоге оказывается товара нет и будет только завтра, мне предлагают его по новой заказать и вручают накладную со скидкой. Приезжаю на следующий день. Опять та же канифоль - товар в подвешенном состоянии (толи его нет, толи продавцы не хотят его продавать). Когда он будет - неизвестно. В итоге: потратил 3 дня ожидания, товар так и не получил. Большое спасибо за мозгошатание от ULMART.",1,45,7
"Сдал в гарантийный ремонт планшет Andromeda S920 Starway. Через месяц мне позвонили и сказали , что можете забрать. Приезжаю забирать, а он не отремонтирован. В техническом заключении написано-""результат диагностики"" обнаружено техническое повреждение разъема. Аппарат снят с гарантийного ремонта. На следующий день я везу его в не гарантийную мастерскую и в результате настоящей дигностики мне делают заключение:1.Неисправность блока питания. 2.Неисправность элементов цепи питания. Уважаемые господа незанимайтесь отписками, необманывайте клиентов и себя в том числе. Руководство компании я прошу разобраться с этим негативным фактом. Причина неисправности планшета не в этом незначительном сколе под разъемом зарядки, который мог быть и во время покупки, так как мне его привезли доставкой. Спасибо за внимание.",1,53,5
"Раньше все было хорошо или косяки быстро исправлялись, сегодня же просто вбесили меня. 1) Продали мне жесткий диск с малозаметным механическим повреждением, назад, есттественно не взяли. Я диск не ронял и мне как-то не приходило в голову что надо и жесткие диски осматривать со всех сторон при покупке. Да я бы и не заметил эту вмятину скорее всего. В общем свинство так поступать, особенно с постоянными клиентами. 2) Купил контроллер USB 3.0 на чипе VIA, в комплекте драйвера для чипа Renesas. Этим вообще добили меня. Буду теперь придираться ко всему, как они со мной, так и я с ними.",4,39,6
"Купили ночью телефон htc в спб на ленинском 95 , человек , который должен был проводить гарантийный осмотр не было и нам сказали что мы можем подойти с утра. Пришли домой, обнаружили что телефон б/у ( скол с угла, зазоры между экраном и корпусом , царапины, отсутствие русского языка, и собственно с блокировки не снимался, выводя только черный экран при входящем вызове) тут же все упаковали и на утро поехали разбираться . Телефон у нас не приняли, к тому же оказалось , что ... Серийный номер телефона не совпадает с коробкой... На мой вопрос чья это вина в сервисе ответа не дали. Написали претензию и телефон забрали на рассмотрение сроком на 10 дней. Отвратительно.","3,5",42,8
"Вчера приобрела мобильный телефон Philips Xenium W832 Grey. Вечером дома обнаружила сильный скрип задней крышки. Сегодня отнесла телефон в гарантийный отдел (Москва. 9-я Парковая, д.62) и была поражена непрофессиональным, грубым отношением сотрудников гарантийного отдела. Я объяснила проблему и попросила поменять телефон на такой же. Сначала меня спросили почему я считаю, что скрип -это заводской брак. Затем спросили не вытерала ли телефон какой - либо жидкостью. Т.е. сотрудники гарантийного отдела сразу очень навязчиво пытались свалить данную неисправность на меня саму. Я уже передумала менять телефон и хотела просто вернуть деньги. На что сотрудник гарантийного отдела стал говорить, что за технически сложный товар деньги не возвращают (вне зависимости от того качественный он или с браком). Кроме того он стал меня убеждать оставить себе телефон, т.к. такой брак по его словам случается в каждой второй такой модели. Лишь когда я озвучила положения ст. 18 и 22 Закона ""О защите прав потребителей"" на право возврата денежных средств - сотрудники приняли наконец мое заявление на возврат денег и дали расписку № 89438329 о принятии товара на техническую экспертизу. Надеюсь, что деньги вернут в установленный Законом РФ ""О защите прав потребителей"" 10 дневный срок. После всего этого мое отношение к этому магазину изменилась полностью и больше я там ничего покупать не буду.",1,36,2
"Заказал электробритву 12 марта 2013 года. номер заказа №0000259274 от 12.03.2013г. Уже 27 марта, а товара все нет. Предварительно обещали доставить товар 16 марта. Если бы я знал, то не стал бы связываться с этим магазином. Менеджер заверил меня, что получилась накладка с транспортом. А сегодня узнал, что мой заказ аннулирован. Как говорится ни здрасте тебе, ни досвидания, и такое бывает, знайте.",1,25,1
"11.03.2013 решила вернуть в магазин неисправную мышь. Позвонила в отдел гарантии, спросила как мне лучше действовать, чтобы расторгнуть договор купли-продажи. МНе сообщили, что желательно написать заявление-требование о возврате денег принести его на аутпост и там его примут вместе с товаром и сделают копию для меня. Я составила заявление в 1 экземпляре и приехала на аутпост в тот же день с заявлением. Заявление о возврате денег у меня принимать не хотели, мотивируя тем, что оно не нужно... Я настаивала, и там вышел целый скандал. Приняли у меня заявление с глючной мышью с трудом, причем копию мне не сделали, так как на аутпосте не оказалось копира. Сотрудники внесли мое заявление в список прилагаемых документов, и на этом пришлось закончить, так как магазинчик уже закрывался. С момента подачи заявления и передачи мыши обратно в фирму прошло более 10 дней, отнако ответа по заявлению я так и не получила, хотя срок рассмотрения претензий составляет максимум 10 суток. При звонке в гарантийный отдел 21.03.2013 для уточнения ситуации, я узнала, что мое заявление потеряно и поэтому никто мне не может ответить. Я предложила сотруднику, который со мной беседовал в течение суток разобраться в ситуации и перезвонить мне. Звонка на следующий день не последовало. Если ранее я целикоm и полностью доверяла фирме Юлмарт, ее порядочности, то данная ситуация меня вынуждает публично обращаться с повторением моих требований о расторжении договора купли-продажи мышы Logitech Performnce MX. Напоминаю, я требую расторгнуть со мной договор купли-продажи и вернуть мне денежные срадства, уплаченные за мышь в сумме 3510 рублей. В случае, если фирмой Юлмарт будет принято решение о проведении экспертизы, я требую об уведомлении меня об этом лично по телефону за 3 дня до проведения экспертизы, чтобы реализовать мое право участия в проверки мыши. Так же я не даю права компании Юлмарт производить гарантийный ремонт или замену мыши. Номер гарантийной распииски 841 577 20",1,25,1
"Являюсь пользователем юлмарт уже более 2-x лет,ну что сказать.Достойный магазин,большой ассортимент(по крайней мере есть из чего выбрать).Цены,еще год назад я бы назвал их отличными для своего региона(зеленоград),то на данный момент что то приходиться заказывать у конкурентов,ибо на порядок дешевле обходиться.Хотя в ценах на компьютерную комплектуху юлмарт пока вполне адекватен. Ну и огромный плюс,это то что заказ доставляют железно уже на следующий день,сбоев пока не было. Ну и для тех кто хочет покупать сразу по 2-колонке и стать постоянным покупателем,мой промокод 1932435,вводить при регистрации.",5,5,14
