" Цена, оперативность выполнения заказа, вежливое обслуживание без проволочек. Нет. Заказала универсальный отпариватель Endever Odyssey Q- 431,заказ сделала через сайт, мне удобно забирать самовывозом с Амурской.На следующий день, пришло Sms,что товар находится у них и готов к выдаче.Заехала после работы,через 5 минут уже уехала с товаром (оплатила сразу при заказе, через сайт).Все быстро,оперативно, без проволочек. На выдаче вежливый,обходительный молодой человек. Мне все понравилось. Спасибо. Буду заказывать у Вас ещё и советовать Ваш магазин друзьям.",5,2,1
" Удобно покупать и не дорого. Гарантийный отдел сжечь, а сотрудников в грузчики перевести. Приятно сэкономить где то . Удобно заказывать, оплачивать и получать. Насчёт гарантийного отдела: Как то покупал принтер Hp deskjet 2515. Прослужив почти год забарахлил. Отнёс в гарантийку на Амурской. Ждал его максимальное время по гарантийному ремонту (45дней вроде) . А когда пришел забирать мне отдали совсем новый принтер. Ну вроде в чём проблема. Да просто бесит когда издеваются с умным видом стараясь поверить что делают свою работу во благо покупателей. Оказывается такую технику не чинят а меняют на новую. Тк ежели меняете то зачем ждать день в день. Сам думаю: чтобы не выдержал и купил другую технику наверно.",5,0,0
" Иногда продают б/ушный товар под видом нового. Купил роутер TP-LINK AC3200 за 16690 руб. при получении он оказался вскрытым и поюзаным. Вот так. Сказали - хотите оформляйте возврат. Типа жрите, что дают.",1,10,1
" Был постоянным клиентом, удобное месторасположение. Ужасный гарантийный отдел, обман покупателей. Приобрёл планшет.После покупки я обнаружил, что клавиатура, входящая в комплектацию планшета, неисправна. Сдал товар в гарантийный отдел.Спустя пару недель, я обнаружил на сайте магазина планшет с тем же серийным номером, но уже по цене в два раза выше.Тогда я купил этот планшет, который оказался моим же планшетом, купленным ранее. Я сверил серийный номер и следы эксплуатации. В коробке с планшетом лежали: акт замены шлейфа с платой подключения клавиатуры (причина обращения мной в гарантийный отдел) и копия чека, с указанием моей фамилии, как покупателя, оплатившего заказ картой.Когда подошёл срок окончания ремонта, мне планшет отдавать отказались. Я написал два заявления: на возврат неисправного планшета (я бы его починил собственными силами) и на предоставление акта списания или утилизации (одни сотрудники мне говорили, что планшет списан, другие - утилизирован). В ответ пришли лишь отписки, что предлагают расторгнуть договор купли-продажи. Я на это не был согласен и не согласен сейчас.В общем, итог: я сдал планшет в гарантийный ремонт, магазин его починил и решил, что его можно продать выгоднее, чем отдавать мне обратно. Реализовали его, хотя по документам - он всё ещё в моей собственности.",1,39,7
" В целом, очень удобный самовывоз, сайт и сервис. Ранее заказывалось, всё нравилось. Менеджер по телефону дезориентировал меня по комплектации. Заказывал через сайт швейную машинку Janome Juno 5025 S, уточнял у менеджера по телефону, идёт ли чехол в комплекте. Менеджер меня заверял, что да, он идёт в комплекте. В итоге когда забирал в пункте выдачи, чехла не было. Это огорчает, но т.к. времени искать в другом месте не было, всё же забрал. А так машинка в поряде, без нареканий. Но просим вас на будущее иметь актуальную информацию. И я уже просил написать вас в описании, что у этой машинки не горизонтальный, а вертикальный качающийся (классический) челнок, но информацию так и не отредактировали. Я лично это на своей машинке проверял.",3,8,1
" Доступность, удобная каталогизация товара. Быстрота обслуживания, качество товаров. Ни разу не сталкивался, хотя постоянно покупаю технику в ситилинке с момента открытия магазина на Дубровке. Покупаю технику только в Ситилинке с момента открытия магазина да Дубровке - близко к работе, удобно забирать товар. За все эти годы ни разу не было претензий к качеству товара, обслуживанию или сложностей в гарантийном отделе. В гарантийный отдел обращался всего 1 раз с колонками - не проверил при покупке, оказалась одна не рабочей. Всего купил у них более 100 различных товаров и всегда все вопросы решались быстро, качественно и профессионально. Спасибо за качественную работу.",5,3,0
" Товар можно получить  на следующий день). Нет. Покупаю товары в этом магазине уже давно. Ни разу не подвели. На сайте сразу видно, какое количество товара осталось на сайте, что очень удобно.",5,7,3
" Покупаю товары в этом магазине уже давно. Ни разу не подвели. На сайте сразу видно, какое количество товара осталось на сайте, что очень удобно.",5,2,1
" Быстро, реально дешевле чем у других. Пока не выявил.",5,2,1
" цены,обслуживание. НЕТ. очень нравится магазин,по городу Белгород самые приемлимые цены на компьютерные комплектующие,Спасибо ;-).",5,1,0
